SalesID,CustomerID,StoreID,ProductID,DateKey,Quantity,UnitPrice,UnitCost,DiscountPercent,TotalCost,TotalAmount,Sales,Profit,ProfitMarginPercent,PaymentMethod,OrderStatus
25,929,64,1023,20240506,2,2.49,1.78,5,3.56,4.73,4.73,1.17,24.74,Net Banking,Completed
26,2983,61,1029,20250115,1,19.99,8.64,30,8.64,13.99,13.99,5.35,38.24,UPI/Wallet,Completed
27,717,16,1031,20251216,2,15.99,6.4,30,12.8,22.39,22.39,9.59,42.83,UPI/Wallet,Completed
28,365,13,1013,20210522,3,24.99,11.45,0,34.35,74.97,74.97,40.62,54.18,Debit Card,Completed
29,1019,20,1045,20230126,3,64.99,37.5,10,112.5,175.47,175.47,62.97,35.89,Debit Card,Completed
30,2259,42,1016,20231115,2,14.99,6.63,0,13.26,29.98,29.98,16.72,55.77,UPI/Wallet,Completed
31,1339,12,1026,20211109,2,129.99,66.29,5,132.58,246.98,246.98,114.4,46.32,UPI/Wallet,Completed
32,64,55,1025,20260326,3,3.99,2.8,10,8.4,10.77,10.77,2.37,22.01,UPI/Wallet,Completed
33,858,42,1009,20250522,1,29.99,14.94,0,14.94,29.99,29.99,15.05,50.18,Credit Card,Completed
34,1237,69,1023,20251111,1,2.49,1.78,5,1.78,2.37,2.37,0.59,24.89,UPI/Wallet,Completed
35,1205,63,1002,20230816,2,999.99,804.99,5,1609.98,1899.98,1899.98,290.0,15.26,Cash,Completed
36,1036,56,1001,20231030,5,249.99,207.74,0,1038.7,1249.95,1249.95,211.25,16.9,Cash,Completed
37,226,27,1013,20221128,4,24.99,11.45,0,45.8,99.96,99.96,-45.8,-45.82,UPI/Wallet,Returned
38,731,68,1041,20240311,5,22.99,10.69,10,53.45,103.46,103.46,50.01,48.34,Credit Card,Completed
39,330,69,1030,20220217,5,24.99,8.77,5,43.85,118.7,118.7,74.85,63.06,Cash,Completed
40,765,69,1015,20210617,4,12.99,6.6,10,0.0,0.0,0.0,0.0,0.0,Credit Card,Cancelled
41,796,21,1016,20230816,3,14.99,6.63,10,19.89,40.47,40.47,20.58,50.85,Debit Card,Completed
42,1996,52,1037,20241017,2,9.99,3.67,0,7.34,19.98,19.98,12.64,63.26,Credit Card,Completed
43,1258,67,1039,20240824,1,11.99,3.97,0,3.97,11.99,11.99,8.02,66.89,Credit Card,Completed
44,511,72,1040,20220703,2,16.99,5.25,0,10.5,33.98,33.98,-10.5,-30.9,Cash,Returned
45,1544,75,1029,20250420,3,19.99,8.64,0,25.92,59.97,59.97,34.05,56.78,UPI/Wallet,Completed
46,2681,10,1034,20260502,2,19.99,10.37,15,20.74,33.98,33.98,13.24,38.96,UPI/Wallet,Completed
47,1120,55,1015,20250523,1,12.99,6.6,30,6.6,9.09,9.09,2.49,27.39,Debit Card,Completed
48,2516,12,1001,20220422,3,249.99,207.74,0,623.22,749.97,749.97,126.75,16.9,Debit Card,Completed
49,2006,11,1042,20240415,1,49.99,23.5,15,23.5,42.49,42.49,18.99,44.69,UPI/Wallet,Completed
50,2442,38,1033,20260414,3,29.99,13.98,0,41.94,89.97,89.97,48.03,53.38,Net Banking,Completed
51,955,67,1020,20210515,2,1.99,1.34,5,2.68,3.78,3.78,1.1,29.1,Debit Card,Completed
52,2074,47,1025,20250112,1,3.99,2.8,5,2.8,3.79,3.79,0.99,26.12,Credit Card,Completed
53,1016,10,1040,20220127,1,16.99,5.25,10,5.25,15.29,15.29,10.04,65.66,Credit Card,Completed
54,282,14,1003,20260603,1,899.0,727.29,10,727.29,809.1,809.1,81.81,10.11,Credit Card,Completed
55,10,2,1001,20240917,2,249.99,207.74,5,415.48,474.98,474.98,59.5,12.53,Debit Card,Completed
56,2489,14,1026,20211224,1,129.99,66.29,30,66.29,90.99,90.99,24.7,27.15,Credit Card,Completed
57,2927,70,1045,20220208,2,64.99,37.5,0,75.0,129.98,129.98,54.98,42.3,Credit Card,Completed
58,477,56,1042,20241104,1,49.99,23.5,15,23.5,42.49,42.49,18.99,44.69,Cash,Completed
59,2890,31,1004,20221118,1,1299.0,1140.52,15,1140.52,1104.15,1104.15,-36.37,-3.29,Credit Card,Completed
60,1862,61,1031,20230727,1,15.99,6.4,0,6.4,15.99,15.99,9.59,59.97,Credit Card,Completed
61,2309,9,1000,20211220,2,599.99,508.79,0,1017.58,1199.98,1199.98,182.4,15.2,UPI/Wallet,Completed
62,848,66,1037,20210506,3,9.99,3.67,0,11.01,29.97,29.97,18.96,63.26,Credit Card,Completed
63,1094,31,1038,20260218,1,12.99,5.69,5,5.69,12.34,12.34,6.65,53.89,Credit Card,Completed
64,1904,71,1000,20250902,1,599.99,508.79,5,508.79,569.99,569.99,-508.79,-89.26,UPI/Wallet,Returned
65,2350,65,1001,20231020,2,249.99,207.74,5,415.48,474.98,474.98,59.5,12.53,Debit Card,Completed
66,813,64,1003,20220217,1,899.0,727.29,20,727.29,719.2,719.2,-8.09,-1.12,Credit Card,Completed
67,1247,10,1010,20240615,4,44.99,19.98,0,79.92,179.96,179.96,100.04,55.59,Net Banking,Completed
68,843,55,1020,20240618,2,1.99,1.34,20,2.68,3.18,3.18,0.5,15.72,UPI/Wallet,Completed
69,2638,8,1042,20250621,1,49.99,23.5,0,23.5,49.99,49.99,26.49,52.99,Debit Card,Completed
70,1720,8,1039,20240829,2,11.99,3.97,5,7.94,22.78,22.78,14.84,65.14,Cash,Completed
71,1396,60,1026,20230605,1,129.99,66.29,0,0.0,0.0,0.0,0.0,0.0,Cash,Cancelled
72,716,29,1029,20220627,2,19.99,8.64,10,17.28,35.98,35.98,18.7,51.97,UPI/Wallet,Completed
73,2149,52,1046,20230113,1,29.99,15.5,15,15.5,25.49,25.49,9.99,39.19,Debit Card,Completed
74,1837,63,1008,20230812,1,34.99,21.17,0,21.17,34.99,34.99,13.82,39.5,Credit Card,Completed
75,2356,55,1024,20250906,1,5.49,3.88,0,3.88,5.49,5.49,1.61,29.33,Debit Card,Completed
76,201,61,1001,20240821,2,249.99,207.74,0,415.48,499.98,499.98,84.5,16.9,Debit Card,Completed
77,2105,55,1034,20241025,1,19.99,10.37,0,10.37,19.99,19.99,9.62,48.12,Credit Card,Completed
78,1250,61,1032,20230930,2,44.99,22.54,0,45.08,89.98,89.98,44.9,49.9,Credit Card,Completed
79,2022,25,1039,20220710,1,11.99,3.97,0,3.97,11.99,11.99,8.02,66.89,Cash,Completed
80,975,6,1035,20220921,1,18.99,7.05,0,7.05,18.99,18.99,11.94,62.88,Cash,Completed
81,2674,1,1016,20250117,1,14.99,6.63,10,6.63,13.49,13.49,6.86,50.85,Cash,Completed
82,1861,70,1012,20220606,3,39.99,16.04,0,0.0,0.0,0.0,0.0,0.0,UPI/Wallet,Cancelled
83,1644,26,1000,20241214,2,599.99,508.79,20,1017.58,959.98,959.98,-57.6,-6.0,Cash,Completed
84,1225,22,1003,20230904,1,899.0,727.29,0,0.0,0.0,0.0,0.0,0.0,UPI/Wallet,Cancelled
85,1846,77,1012,20250905,4,39.99,16.04,5,64.16,151.96,151.96,87.8,57.78,Credit Card,Completed
86,2649,30,1010,20211121,1,44.99,19.98,0,19.98,44.99,44.99,25.01,55.59,Credit Card,Completed
87,1316,4,1011,20210528,1,79.99,35.52,0,35.52,79.99,79.99,44.47,55.59,Cash,Completed
88,2462,47,1011,20220124,4,79.99,35.52,20,142.08,255.97,255.97,113.89,44.49,Credit Card,Completed
89,1231,7,1011,20220401,1,79.99,35.52,5,35.52,75.99,75.99,40.47,53.26,Credit Card,Completed
90,1729,49,1005,20250511,4,449.0,391.08,15,1564.32,1526.6,1526.6,-37.72,-2.47,UPI/Wallet,Completed
91,1855,4,1017,20240516,2,3.49,2.58,5,5.16,6.63,6.63,1.47,22.17,Cash,Completed
92,2881,51,1000,20230917,3,599.99,508.79,10,1526.37,1619.97,1619.97,93.6,5.78,UPI/Wallet,Completed
93,236,75,1003,20220607,2,899.0,727.29,0,1454.58,1798.0,1798.0,343.42,19.1,Credit Card,Completed
94,2576,22,1018,20221007,2,4.99,3.41,0,6.82,9.98,9.98,3.16,31.66,Debit Card,Completed
95,1811,45,1034,20210118,1,19.99,10.37,20,10.37,15.99,15.99,5.62,35.15,Cash,Completed
96,1729,57,1003,20230214,1,899.0,727.29,10,727.29,809.1,809.1,81.81,10.11,UPI/Wallet,Completed
97,2331,59,1030,20240831,1,24.99,8.77,0,8.77,24.99,24.99,16.22,64.91,Credit Card,Completed
98,1620,47,1027,20250113,3,149.99,79.49,20,238.47,359.98,359.98,121.51,33.75,Credit Card,Completed
99,2484,22,1035,20250801,1,18.99,7.05,5,7.05,18.04,18.04,10.99,60.92,Net Banking,Completed
100,654,50,1014,20220422,3,19.99,8.48,5,25.44,56.97,56.97,31.53,55.34,Credit Card,Completed
101,1313,35,1025,20250419,3,3.99,2.8,0,8.4,11.97,11.97,3.57,29.82,Cash,Completed
102,780,55,1008,20230205,4,34.99,21.17,5,84.68,132.96,132.96,48.28,36.31,UPI/Wallet,Completed
103,576,7,1030,20260419,4,24.99,8.77,5,35.08,94.96,94.96,59.88,63.06,Credit Card,Completed
104,1566,31,1020,20260418,4,1.99,1.34,15,5.36,6.77,6.77,1.41,20.83,Cash,Completed
105,1502,4,1042,20240118,1,49.99,23.5,10,23.5,44.99,44.99,21.49,47.77,Debit Card,Completed
106,1915,28,1007,20240327,1,14.99,9.55,30,9.55,10.49,10.49,0.94,8.96,Credit Card,Completed
107,2354,40,1045,20230811,2,64.99,37.5,15,75.0,110.48,110.48,35.48,32.11,Credit Card,Completed
108,2952,69,1025,20241202,2,3.99,2.8,0,5.6,7.98,7.98,-5.6,-70.18,Cash,Returned
109,1233,8,1030,20221020,3,24.99,8.77,0,26.31,74.97,74.97,48.66,64.91,Debit Card,Completed
110,224,52,1032,20210305,2,44.99,22.54,30,45.08,62.99,62.99,17.91,28.43,Credit Card,Completed
111,2997,49,1001,20231120,1,249.99,207.74,10,0.0,0.0,0.0,0.0,0.0,Cash,Cancelled
112,1328,71,1005,20230507,4,449.0,391.08,0,1564.32,1796.0,1796.0,231.68,12.9,Debit Card,Completed
113,1996,61,1001,20250624,3,249.99,207.74,10,623.22,674.97,674.97,51.75,7.67,Cash,Completed
114,377,77,1019,20250227,1,6.99,5.11,0,5.11,6.99,6.99,-5.11,-73.1,Cash,Returned
115,2499,45,1033,20240519,3,29.99,13.98,30,41.94,62.98,62.98,21.04,33.41,Credit Card,Completed
116,724,48,1043,20241205,2,89.99,46.16,10,92.32,161.98,161.98,69.66,43.01,UPI/Wallet,Completed
117,1940,6,1032,20240811,1,44.99,22.54,0,22.54,44.99,44.99,22.45,49.9,UPI/Wallet,Completed
118,1446,67,1028,20221013,2,89.99,47.87,5,95.74,170.98,170.98,75.24,44.01,Credit Card,Completed
119,787,68,1005,20250225,2,449.0,391.08,0,782.16,898.0,898.0,115.84,12.9,Credit Card,Completed
120,1398,59,1044,20251004,1,59.99,31.85,0,31.85,59.99,59.99,28.14,46.91,Credit Card,Completed
121,2022,77,1024,20240514,1,5.49,3.88,10,3.88,4.94,4.94,1.06,21.46,Credit Card,Completed
122,1344,2,1006,20221017,2,59.99,33.53,30,67.06,83.99,83.99,16.93,20.16,Credit Card,Completed
123,237,38,1003,20220419,1,899.0,727.29,10,727.29,809.1,809.1,81.81,10.11,UPI/Wallet,Completed
124,255,14,1010,20260119,1,44.99,19.98,0,19.98,44.99,44.99,25.01,55.59,Debit Card,Completed
125,2474,62,1038,20230205,1,12.99,5.69,20,5.69,10.39,10.39,4.7,45.24,UPI/Wallet,Completed
126,2515,41,1034,20250819,1,19.99,10.37,0,10.37,19.99,19.99,-10.37,-51.88,Credit Card,Returned
127,1844,66,1014,20260206,2,19.99,8.48,0,16.96,39.98,39.98,-16.96,-42.42,Credit Card,Returned
128,250,61,1019,20241228,2,6.99,5.11,5,10.22,13.28,13.28,3.06,23.04,Credit Card,Completed
129,2419,3,1009,20211123,1,29.99,14.94,30,14.94,20.99,20.99,6.05,28.82,Cash,Completed
130,1716,10,1042,20260124,2,49.99,23.5,30,47.0,69.99,69.99,22.99,32.85,UPI/Wallet,Completed
131,2370,35,1011,20240712,5,79.99,35.52,0,177.6,399.95,399.95,222.35,55.59,UPI/Wallet,Completed
132,2539,55,1038,20250608,4,12.99,5.69,15,22.76,44.17,44.17,21.41,48.47,UPI/Wallet,Completed
133,2671,5,1009,20260602,1,29.99,14.94,20,14.94,23.99,23.99,9.05,37.72,Cash,Completed
134,325,30,1011,20240129,1,79.99,35.52,0,35.52,79.99,79.99,44.47,55.59,Debit Card,Completed
135,2017,17,1011,20250105,2,79.99,35.52,20,0.0,0.0,0.0,0.0,0.0,Debit Card,Cancelled
136,1110,25,1028,20230921,1,89.99,47.87,0,47.87,89.99,89.99,42.12,46.81,Debit Card,Completed
137,170,40,1017,20260422,1,3.49,2.58,20,2.58,2.79,2.79,0.21,7.53,Debit Card,Completed
138,22,20,1002,20210702,1,999.99,804.99,5,804.99,949.99,949.99,145.0,15.26,Debit Card,Completed
139,1100,37,1039,20241226,3,11.99,3.97,5,11.91,34.17,34.17,-11.91,-34.86,Credit Card,Returned
140,2033,50,1016,20241003,4,14.99,6.63,10,26.52,53.96,53.96,27.44,50.85,UPI/Wallet,Completed
141,532,39,1027,20260402,1,149.99,79.49,0,79.49,149.99,149.99,70.5,47.0,Debit Card,Completed
142,2351,63,1030,20260605,2,24.99,8.77,0,17.54,49.98,49.98,32.44,64.91,Credit Card,Completed
143,1143,73,1002,20220817,1,999.99,804.99,0,804.99,999.99,999.99,195.0,19.5,Credit Card,Completed
144,1368,18,1000,20231130,2,599.99,508.79,0,1017.58,1199.98,1199.98,182.4,15.2,Debit Card,Completed
145,711,20,1009,20230322,2,29.99,14.94,5,29.88,56.98,56.98,27.1,47.56,Debit Card,Completed
146,1507,4,1000,20230423,1,599.99,508.79,5,508.79,569.99,569.99,61.2,10.74,UPI/Wallet,Completed
147,1259,45,1043,20220808,1,89.99,46.16,30,46.16,62.99,62.99,16.83,26.72,Cash,Completed
148,1307,18,1039,20221004,1,11.99,3.97,5,3.97,11.39,11.39,-3.97,-34.86,Cash,Returned
149,2199,56,1026,20221026,4,129.99,66.29,0,265.16,519.96,519.96,254.8,49.0,Credit Card,Completed
150,644,39,1003,20221014,1,899.0,727.29,0,727.29,899.0,899.0,171.71,19.1,UPI/Wallet,Completed
151,933,23,1009,20240926,1,29.99,14.94,30,14.94,20.99,20.99,-14.94,-71.18,Cash,Returned
152,1313,60,1041,20250916,2,22.99,10.69,0,21.38,45.98,45.98,24.6,53.5,Credit Card,Completed
153,809,46,1025,20240615,4,3.99,2.8,10,11.2,14.36,14.36,3.16,22.01,Debit Card,Completed
154,2736,55,1038,20210708,2,12.99,5.69,0,11.38,25.98,25.98,14.6,56.2,Debit Card,Completed
155,2170,24,1037,20231002,1,9.99,3.67,5,3.67,9.49,9.49,5.82,61.33,UPI/Wallet,Completed
156,765,37,1045,20260209,4,64.99,37.5,0,150.0,259.96,259.96,109.96,42.3,UPI/Wallet,Completed
157,2874,7,1009,20260401,1,29.99,14.94,0,14.94,29.99,29.99,-14.94,-49.82,Credit Card,Returned
158,1906,47,1023,20250115,3,2.49,1.78,0,5.34,7.47,7.47,2.13,28.51,Credit Card,Completed
159,912,61,1034,20240805,1,19.99,10.37,15,10.37,16.99,16.99,6.62,38.96,Debit Card,Completed
160,1843,49,1025,20241020,2,3.99,2.8,15,5.6,6.78,6.78,1.18,17.4,Credit Card,Completed
161,710,64,1022,20210122,5,3.99,2.63,0,13.15,19.95,19.95,6.8,34.09,Debit Card,Completed
162,1609,58,1015,20251208,2,12.99,6.6,0,13.2,25.98,25.98,12.78,49.19,UPI/Wallet,Completed
163,764,19,1040,20240421,5,16.99,5.25,5,26.25,80.7,80.7,54.45,67.47,Credit Card,Completed
164,822,9,1003,20250627,2,899.0,727.29,10,1454.58,1618.2,1618.2,163.62,10.11,UPI/Wallet,Completed
165,1340,22,1024,20210427,2,5.49,3.88,20,7.76,8.78,8.78,1.02,11.62,Debit Card,Completed
166,294,72,1014,20251220,1,19.99,8.48,0,8.48,19.99,19.99,11.51,57.58,UPI/Wallet,Completed
167,1346,53,1045,20250302,1,64.99,37.5,0,37.5,64.99,64.99,27.49,42.3,Credit Card,Completed
168,494,33,1017,20221117,2,3.49,2.58,10,5.16,6.28,6.28,-5.16,-82.17,Credit Card,Returned
169,1711,48,1025,20260101,3,3.99,2.8,0,8.4,11.97,11.97,3.57,29.82,Cash,Completed
170,2133,1,1005,20210317,5,449.0,391.08,0,1955.4,2245.0,2245.0,289.6,12.9,UPI/Wallet,Completed
171,1489,5,1015,20230417,1,12.99,6.6,5,6.6,12.34,12.34,5.74,46.52,Credit Card,Completed
172,1063,77,1042,20240504,1,49.99,23.5,10,23.5,44.99,44.99,21.49,47.77,Debit Card,Completed
173,1671,27,1043,20240327,1,89.99,46.16,5,46.16,85.49,85.49,39.33,46.01,Debit Card,Completed
174,271,38,1018,20251001,1,4.99,3.41,0,3.41,4.99,4.99,1.58,31.66,UPI/Wallet,Completed
175,1060,26,1025,20220729,1,3.99,2.8,5,2.8,3.79,3.79,0.99,26.12,Credit Card,Completed
176,1049,39,1030,20241003,2,24.99,8.77,15,17.54,42.48,42.48,24.94,58.71,Net Banking,Completed
177,902,76,1012,20250624,1,39.99,16.04,15,0.0,0.0,0.0,0.0,0.0,UPI/Wallet,Cancelled
178,72,2,1030,20221016,1,24.99,8.77,0,8.77,24.99,24.99,16.22,64.91,Debit Card,Completed
179,1570,2,1033,20260222,2,29.99,13.98,5,27.96,56.98,56.98,29.02,50.93,Credit Card,Completed
180,642,31,1020,20230609,1,1.99,1.34,0,1.34,1.99,1.99,0.65,32.66,Cash,Completed
181,1569,70,1023,20260316,2,2.49,1.78,0,0.0,0.0,0.0,0.0,0.0,Debit Card,Cancelled
182,2962,41,1022,20221119,2,3.99,2.63,0,5.26,7.98,7.98,2.72,34.09,Debit Card,Completed
183,498,3,1032,20231117,3,44.99,22.54,0,67.62,134.97,134.97,67.35,49.9,Credit Card,Completed
184,2025,34,1002,20231209,5,999.99,804.99,0,4024.95,4999.95,4999.95,-4024.95,-80.5,UPI/Wallet,Returned
185,1523,7,1019,20220607,2,6.99,5.11,20,10.22,11.18,11.18,0.96,8.59,Debit Card,Completed
186,2142,74,1029,20211022,3,19.99,8.64,20,25.92,47.98,47.98,22.06,45.98,Credit Card,Completed
187,1683,19,1018,20230914,2,4.99,3.41,5,6.82,9.48,9.48,2.66,28.06,Debit Card,Completed
188,1262,18,1044,20230218,1,59.99,31.85,10,31.85,53.99,53.99,22.14,41.01,Debit Card,Completed
189,2629,58,1005,20231230,4,449.0,391.08,20,1564.32,1436.8,1436.8,-127.52,-8.88,UPI/Wallet,Completed
190,2697,30,1007,20260521,2,14.99,9.55,30,19.1,20.99,20.99,1.89,9.0,Credit Card,Completed
191,379,57,1009,20220801,4,29.99,14.94,20,59.76,95.97,95.97,36.21,37.73,Credit Card,Completed
192,2599,71,1039,20230326,1,11.99,3.97,15,3.97,10.19,10.19,6.22,61.04,Cash,Completed
193,167,58,1026,20230904,2,129.99,66.29,15,132.58,220.98,220.98,88.4,40.0,Credit Card,Completed
194,2355,24,1038,20231120,3,12.99,5.69,5,17.07,37.02,37.02,19.95,53.89,Cash,Completed
195,510,26,1046,20240404,4,29.99,15.5,0,62.0,119.96,119.96,57.96,48.32,UPI/Wallet,Completed
196,323,13,1032,20251023,2,44.99,22.54,0,45.08,89.98,89.98,-45.08,-50.1,Cash,Returned
197,1718,5,1003,20250415,1,899.0,727.29,0,727.29,899.0,899.0,171.71,19.1,Credit Card,Completed
198,1583,69,1024,20210831,1,5.49,3.88,0,3.88,5.49,5.49,1.61,29.33,UPI/Wallet,Completed
199,2154,57,1000,20240710,1,599.99,508.79,0,508.79,599.99,599.99,91.2,15.2,UPI/Wallet,Completed
200,2877,29,1002,20260213,2,999.99,804.99,0,1609.98,1999.98,1999.98,390.0,19.5,Credit Card,Completed
201,2232,70,1020,20210412,5,1.99,1.34,0,6.7,9.95,9.95,3.25,32.66,Debit Card,Completed
202,812,58,1012,20250314,2,39.99,16.04,5,32.08,75.98,75.98,43.9,57.78,UPI/Wallet,Completed
203,1620,16,1018,20230317,2,4.99,3.41,0,6.82,9.98,9.98,3.16,31.66,Cash,Completed
204,877,59,1005,20240502,1,449.0,391.08,20,391.08,359.2,359.2,-31.88,-8.88,Debit Card,Completed
205,1655,74,1018,20250509,2,4.99,3.41,0,6.82,9.98,9.98,3.16,31.66,Net Banking,Completed
206,249,73,1008,20240806,2,34.99,21.17,20,42.34,55.98,55.98,13.64,24.37,Debit Card,Completed
207,763,76,1017,20260327,1,3.49,2.58,0,2.58,3.49,3.49,0.91,26.07,UPI/Wallet,Completed
208,2142,43,1022,20240918,2,3.99,2.63,10,5.26,7.18,7.18,1.92,26.74,Cash,Completed
209,1245,24,1033,20260319,2,29.99,13.98,0,27.96,59.98,59.98,32.02,53.38,Debit Card,Completed
210,269,54,1018,20220518,3,4.99,3.41,10,10.23,13.47,13.47,-10.23,-75.95,Debit Card,Returned
211,1276,42,1014,20210509,1,19.99,8.48,0,8.48,19.99,19.99,11.51,57.58,Debit Card,Completed
212,2344,53,1044,20231205,2,59.99,31.85,10,63.7,107.98,107.98,44.28,41.01,Credit Card,Completed
213,2512,39,1035,20221206,4,18.99,7.05,0,28.2,75.96,75.96,47.76,62.88,Debit Card,Completed
214,2983,61,1012,20230411,1,39.99,16.04,10,16.04,35.99,35.99,19.95,55.43,Credit Card,Completed
215,3,38,1003,20250612,1,899.0,727.29,15,727.29,764.15,764.15,36.86,4.82,Credit Card,Completed
216,2606,34,1044,20210629,2,59.99,31.85,20,63.7,95.98,95.98,32.28,33.63,Credit Card,Completed
217,2067,51,1000,20230617,1,599.99,508.79,5,508.79,569.99,569.99,61.2,10.74,Cash,Completed
218,2912,34,1002,20250102,2,999.99,804.99,0,0.0,0.0,0.0,0.0,0.0,Credit Card,Cancelled
219,1277,60,1006,20210630,1,59.99,33.53,5,33.53,56.99,56.99,23.46,41.17,Debit Card,Completed
220,1212,18,1032,20220314,1,44.99,22.54,0,22.54,44.99,44.99,22.45,49.9,Debit Card,Completed
221,2357,12,1042,20211217,4,49.99,23.5,5,94.0,189.96,189.96,95.96,50.52,UPI/Wallet,Completed
222,643,28,1005,20210616,1,449.0,391.08,5,391.08,426.55,426.55,35.47,8.32,Debit Card,Completed
223,2967,25,1009,20210507,1,29.99,14.94,0,14.94,29.99,29.99,15.05,50.18,Debit Card,Completed
224,2044,63,1002,20230725,1,999.99,804.99,5,804.99,949.99,949.99,145.0,15.26,Credit Card,Completed
225,961,63,1044,20240609,3,59.99,31.85,0,95.55,179.97,179.97,84.42,46.91,Debit Card,Completed
226,1735,24,1027,20210224,1,149.99,79.49,5,79.49,142.49,142.49,63.0,44.21,Debit Card,Completed
227,1365,24,1013,20210718,2,24.99,11.45,5,22.9,47.48,47.48,24.58,51.77,UPI/Wallet,Completed
228,495,58,1014,20220205,2,19.99,8.48,20,16.96,31.98,31.98,15.02,46.97,Cash,Completed
229,2974,57,1040,20210921,5,16.99,5.25,10,26.25,76.46,76.46,-26.25,-34.33,Cash,Returned
230,1695,49,1012,20230513,1,39.99,16.04,20,16.04,31.99,31.99,15.95,49.86,Net Banking,Completed
231,2468,13,1032,20221210,1,44.99,22.54,20,22.54,35.99,35.99,13.45,37.37,Credit Card,Completed
232,2001,3,1038,20220301,1,12.99,5.69,0,5.69,12.99,12.99,7.3,56.2,Credit Card,Completed
233,1044,12,1002,20250329,2,999.99,804.99,0,1609.98,1999.98,1999.98,390.0,19.5,UPI/Wallet,Completed
234,937,17,1028,20210808,2,89.99,47.87,30,95.74,125.99,125.99,-95.74,-75.99,UPI/Wallet,Returned
235,1723,33,1001,20211212,1,249.99,207.74,20,207.74,199.99,199.99,-7.75,-3.88,Credit Card,Completed
236,1891,52,1031,20241031,2,15.99,6.4,5,12.8,30.38,30.38,17.58,57.87,Credit Card,Completed
237,822,69,1001,20230803,1,249.99,207.74,15,207.74,212.49,212.49,4.75,2.24,Credit Card,Completed
238,204,62,1019,20250209,1,6.99,5.11,0,5.11,6.99,6.99,1.88,26.9,Credit Card,Completed
239,2950,65,1018,20250409,1,4.99,3.41,5,0.0,0.0,0.0,0.0,0.0,Cash,Cancelled
240,2117,60,1023,20240519,1,2.49,1.78,0,1.78,2.49,2.49,0.71,28.51,Cash,Completed
241,2170,63,1046,20240701,5,29.99,15.5,20,77.5,119.96,119.96,42.46,35.4,Debit Card,Completed
242,1676,39,1005,20231025,1,449.0,391.08,5,391.08,426.55,426.55,35.47,8.32,Credit Card,Completed
243,228,39,1041,20240114,1,22.99,10.69,30,10.69,16.09,16.09,5.4,33.56,Debit Card,Completed
